eb ebsig Ndtr 
1.1190951238 0.4924177674 10.0000000000 
1.0844041461 0.4524643718 16.0000000000 
1.0103241177 0.4025857653 26.0000000000 
0.9372434259 0.3614552997 40.0000000000 
0.8903617276 0.3264517699 64.0000000000 
0.8648793387 0.3014267336 100.0000000000 
0.8040502084 0.2722592318 159.0000000000 
0.7644493391 0.2499872459 252.0000000000 
0.7259157512 0.2295619834 399.0000000000 
0.6887680645 0.2120009279 631.0000000000 
0.6585018137 0.1980673894 1000.0000000000 
0.6314025025 0.1858421161 1585.0000000000 
0.6130273491 0.1774158391 2512.0000000000 
0.6026434836 0.1727538523 3982.0000000000 
0.5967914509 0.1685688815 6310.0000000000 
0.5907793604 0.1661301435 10000.0000000000 
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
